Category,Screen Size(in inches),Screen Resolution,CPU,GHz,RAM(IN GB),Storage(Gb),GPU,OS,Weight (in kg),Price (in php)
2,13.3,1600,5,2.3,8,1,0,0,1.37,81005.16
2,13.3,900,5,1.8,8,5,0,0,1.34,54354.95
1,15.6,1080,5,2.5,8,1,0,8,1.86,34767.72
2,15.4,1800,6,2.7,16,1,1,0,1.83,153428.44
2,13.3,1600,5,3.1,8,1,0,0,1.37,109055.76
1,15.6,768,11,3,4,0,1,6,2.1,24186.24
2,15.4,1800,6,2.2,16,5,0,1,2.04,129394.57
2,13.3,900,5,1.8,8,5,0,0,1.34,70061.49
2,14,1080,6,1.8,16,1,1,6,1.3,90396.07
2,14,1080,5,1.6,8,1,0,6,1.6,46558.51
1,15.6,768,5,2.5,4,0,0,8,1.86,23817.4
1,15.6,1080,4,2,4,0,0,8,1.86,20860.03
2,15.4,1800,6,2.8,16,1,1,0,1.83,147534.25
1,15.6,1080,4,2,4,1,1,6,2.2,30166.29
2,12,1440,7,1.2,8,1,0,0,0.92,76331.77
2,13.3,1600,5,2.3,8,1,0,0,1.37,91820.04
1,15.6,1080,6,2.7,8,1,1,6,2.2,45046.87
2,15.4,1800,6,2.9,16,1,1,0,1.83,172810.68
1,15.6,1080,4,2.4,8,0,1,8,2.2,30172.33
2,13.3,1080,5,1.6,8,1,0,6,1.22,59195.82
5,11.6,768,0,1.44,2,5,0,6,0.98,11603.35
3,15.6,1080,5,2.5,8,3,1,6,2.5,60405.13
1,15.6,768,15,1.5,4,0,1,8,1.86,15600.12
4,13.3,1080,5,1.6,8,1,0,6,1.62,49521.33
2,15.6,1080,6,1.8,8,1,0,6,1.91,39846.83
1,15.6,768,4,2,4,0,0,6,2.3,25313.32
2,13.3,900,5,1.6,8,5,0,1,1.35,66451.69
1,15.6,1080,5,1.6,8,1,1,6,2.2,48372.48
2,15.6,1080,6,1.9,8,3,0,6,1.88,78484.35
1,17.3,1080,5,1.6,8,0,1,6,2.5,54177.18
1,15.6,1080,0,1.44,4,5,0,6,1.89,14813.47
1,14,768,14,1.5,2,5,1,6,1.65,12032.65
1,17.3,1080,9,2.5,4,0,1,6,2.71,26544.4
2,13.3,1800,6,1.8,16,1,0,6,1.2,113010.21
2,13.3,900,5,1.6,8,5,0,1,1.35,60344.67
1,14,768,1,1.1,4,5,0,6,1.44,15055.93
1,15.6,768,4,2.7,4,0,0,2,2.1,22190.88
1,17.3,1080,5,1.6,8,3,1,6,2.8,59195.82
1,15.6,768,5,2.5,4,0,0,6,1.86,29548.93
1,15.6,1080,5,1.6,8,1,1,6,2.1,53149.26
1,15.6,1080,4,2,4,0,0,2,2,23521.12
3,15.6,1080,6,2.8,16,3,1,6,2.65,90637.93
1,15.6,768,5,2.5,8,0,1,2,2.3,31622.9
1,15.6,1080,5,1.6,4,1,0,6,2.2,41237.54
4,17.3,1080,5,1.6,12,0,1,6,2.77,60405.13
2,13.3,1600,5,2,8,1,0,0,1.37,85800.69
1,15.6,768,4,2,4,1,0,8,2.2,22311.81
3,17.3,1080,16,3,8,3,1,6,3.2,78544.81
1,15.6,1080,5,2.5,4,1,1,6,2.3,38637.52
1,17.3,768,3,1.1,4,0,1,6,2.8,28176.97
4,10.1,1200,0,1.44,4,5,0,4,0.69,19288.53
1,15.6,1080,6,1.8,8,1,1,6,2.2,50851.57
1,15.6,1080,9,2.5,4,1,1,6,1.86,24094.94
1,13.3,1080,6,1.8,8,1,0,6,1.49,66693.56
1,15.6,768,4,2.4,4,0,0,6,2.4,23218.79
1,15.6,1080,6,1.8,8,1,1,6,2.13,46425.49
1,15.6,1080,4,2,4,1,0,6,1.91,26544.4
1,15.6,768,5,2.5,4,1,0,6,2,35444.33
3,17.3,1080,6,2.8,16,3,1,6,2.43,148080.25
1,15.6,1080,4,2,4,1,0,2,2,25093.22
1,17.3,1080,6,1.8,16,3,1,6,2.8,78544.81
2,14,1080,5,1.6,8,1,0,6,1.7,53149.26
1,14,1080,4,2.7,8,1,0,8,1.7,36218.89
1,14,1080,5,1.6,8,1,0,6,1.4,56898.13
1,15.6,1080,5,2.5,8,1,0,6,1.86,41721.26
2,15.6,1080,6,2.8,16,1,1,6,1.8,119903.28
1,15.6,768,4,2,4,0,1,6,1.86,26525.65
1,14,768,1,1.6,4,1,0,6,1.44,13846.62
1,15.6,1080,5,2.5,4,0,0,6,1.9,33195.61
3,17.3,1080,6,2.8,12,0,1,2,3,57381.85
2,13.5,1504,5,2.5,4,1,0,7,1.252,65847.04
2,13.3,1080,6,1.8,8,1,1,6,1.4,57744.65
1,15.6,1080,6,1.8,8,1,1,6,2.2,52605.07
3,17.3,1080,5,2.5,8,3,1,6,2.7,66209.83
1,14,768,4,2,8,0,0,6,2.1,23521.12
3,15.6,1080,6,2.8,8,0,1,6,2.2,57381.85
1,15.6,1080,5,2.5,8,0,0,8,2.2,31381.65
1,15.6,1080,6,1.8,8,3,0,6,2.02,51698.09
1,15.6,1080,4,2.7,4,0,1,6,2.2,32046.77
1,17.3,1080,5,1.6,8,3,1,6,2.5,59074.89
2,15.6,1080,5,1.6,8,1,0,6,1.88,66279.97
2,12,1440,5,1.3,8,1,0,0,0.92,91303.06
1,14,1080,5,1.6,8,1,0,6,1.63,52000.42
1,15.6,1080,9,2.5,4,1,1,6,2.2,24125.77
1,15.6,768,11,3,4,0,1,6,2.1,23883.91
3,15.6,1080,6,2.8,16,3,1,6,2.65,81568.09
2,15.6,1080,6,1.8,8,1,1,6,1.83,42265.45
1,15.6,1080,5,2.5,8,1,0,6,1.96,36218.29
3,15.6,1080,6,2.8,16,3,1,6,2.2,87614.65
2,13.3,1080,6,1.8,8,1,0,6,1.21,99707.77
3,15.6,1080,15,3,8,0,1,6,2.45,42265.45
1,15.6,1080,6,1.8,8,0,1,6,2.2,41660.8
1,13.3,1080,6,1.8,16,1,0,6,1.49,72377.32
3,15.6,1080,5,2.5,8,1,1,6,2.65,72256.39
2,14,1080,6,2.7,8,1,0,6,1.25,63428.41
4,13.3,1080,5,1.6,8,1,0,6,1.5,51214.36
1,15.6,1080,6,2.7,8,0,1,2,2.2,36273.31
1,15.6,1080,4,2,4,1,1,2,2.2,29325.82
1,15.6,1080,4,2.4,6,1,1,6,2,34888.65
3,15.6,1080,6,2.8,12,3,1,6,2.62,75521.53
1,15.6,1080,6,2.7,8,1,1,6,1.91,43474.77
1,15.6,1080,14,1.5,4,0,1,6,2.1,21102.49
1,15.6,1080,5,1.6,8,0,1,2,2.2,39121.24
2,13.3,1080,6,2.7,8,1,1,6,1.38,67661.01
2,13.5,1504,5,2.5,8,1,0,7,1.252,81023.9
1,14,1080,5,2.5,6,1,1,6,1.58,39846.83
1,15.6,1080,4,2,4,0,0,6,1.85,25087.18
2,14,1080,6,2.7,8,1,1,6,1.3,72135.46
3,15.6,1080,6,2.8,16,3,1,6,2.2,78544.81
1,14,1080,6,2.7,8,1,0,6,1.58,89489.09
2,15.6,1080,6,1.8,16,3,1,6,1.5,76307.59
2,13.3,1800,6,2.4,8,1,0,6,1.23,83382.06
4,13.3,1080,5,2.5,8,1,0,6,1.37,84591.37
1,14,768,5,1.6,4,0,0,6,1.63,43656.16
2,13.3,1080,5,1.6,8,1,0,6,1.21,98498.46
4,13.3,1080,5,1.6,8,1,0,6,1.26,84590.77
1,14,1080,6,1.8,8,1,0,6,1.63,65544.71
1,15.6,1080,6,1.8,8,3,1,6,2.16,68346.08
1,17.3,1080,4,2,4,0,1,6,2,34102.6
1,15.6,1080,6,1.8,8,1,1,6,1.7,67600.54
1,15.6,1080,4,2.4,6,0,0,6,2.1,28963.02
3,15.6,1080,6,2.8,16,3,1,6,1.8,135533.64
1,15.6,1080,5,2.5,8,1,1,8,2.2,38032.86
1,17.3,1080,6,1.8,16,1,1,6,2.5,76851.78
1,15.6,768,11,3,4,1,1,6,2.1,27269.99
1,15.6,768,1,1.6,4,0,0,8,1.86,15660.59
1,14,1080,5,1.6,8,0,0,6,1.63,49098.07
